cim_version,datamodel,object,field,data_type,description,possible_values
4.3.1,Web,Web,status,string,The HTTP response code indicating the status of the proxy request.,"404, 302, 500, and so on."
4.3.1,Web,Web,tag,string,This automatically generated field is used to access tags from within datamodels. Add-on builders do not need to populate it.,
4.3.1,Web,Web,uri_path,string,The universal resource indicator path of the resource served by the webserver or proxy.,
4.3.1,Web,Web,uri_query,string,The universal resource indicator path of the resource requested by the client.,
4.3.1,Web,Web,url,string,The URL of the requested HTTP resource.,
4.3.1,Web,Web,url_length,number,The length of the URL.,
4.3.1,Web,Web,user,string,The user that requested the HTTP resource.,
4.3.1,Web,Web,user_bunit,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Web,Web,user_category,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Web,Web,user_priority,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Web,Web,vendor_product,string,"The vendor of the proxy server, such as Squid Proxy Server.",
4.3.1,Alerts,Alerts,app,string,"The application involved in the event, such as win:app:trendmicro, vmware,nagios.",
4.3.1,Alerts,Alerts,body,string,The body of a message.,
4.3.1,Alerts,Alerts,dest,string,"The destination where the alert message was sent to, such as an email address or SNMP trap. You can alias this from more specific fields, such as dest_host,dest_ip, or dest_name.",
4.3.1,Alerts,Alerts,dest_bunit,string,The business unit associated with the destination.,
4.3.1,Alerts,Alerts,dest_category,string,The category of the destination.,
4.3.1,Alerts,Alerts,dest_priority,string,The priority of the destination.,
4.3.1,Alerts,Alerts,id,string,The unique identifier of a message.,
4.3.1,Alerts,Alerts,severity,string,"The severity of a message. Note: This field is a string. Please use aseverity_id field for severity ID fields that are integer data types. Specific values are required. Please use vendor_severity for the vendor's own human-readable strings (such as Good, Bad, Really Bad, and so on).","critical, high, medium, low,informational, unknown"
4.3.1,Alerts,Alerts,severity_id,string,A numeric severity indicator for a message.,
4.3.1,Alerts,Alerts,src,string,"The source of the message. You can aliasthis from more specific fields, such assrc_host, src_ip, or src_name.",
4.3.1,Alerts,Alerts,src_bunit,string,The business unit associated with the source.,
4.3.1,Alerts,Alerts,src_category,string,The category of the source.,
4.3.1,Alerts,Alerts,src_priority,string,The priority of the source.,
4.3.1,Alerts,Alerts,subject,string,The message subject.,
4.3.1,Alerts,Alerts,type,string,The message type.,"alarm, alert, event, task, unknown"
4.3.1,Application_State,All_Application_State,dest,string,"The compute resource where the service is installed. You can alias this from more specific fields, such asdest_host, dest_ip, ordest_name.",
4.3.1,Application_State,All_Application_State,dest_bunit,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Application_State,All_Application_State,dest_category,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Application_State,All_Application_State,dest_priority,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Application_State,All_Application_State,dest_requires_av,boolean,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Application_State,All_Application_State,dest_should_timesync,boolean,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Application_State,All_Application_State,dest_should_update,boolean,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Application_State,All_Application_State,process,string,"The name of a process or service file, such as sqlsrvr.exe or httpd. Note: This field is not appropriate for service or daemon names, such asSQL Server or Apache Web Server. Service or daemon names belong to the service field (see below). Also, note that this field is a string. Please use a process_id field for process ID fields that are integer data types.",
4.3.1,Application_State,All_Application_State,process_id,string,A numeric indicator (PID) for a process.,
4.3.1,Application_State,All_Application_State,tag,string,This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it.,
4.3.1,Application_State,All_Application_State,user,string,"The user account the service is running as, such as System orhttpdsvc.",
4.3.1,Application_State,All_Application_State,user_bunit,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Application_State,All_Application_State,user_category,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Application_State,All_Application_State,user_priority,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Application_State,Ports,dest_port,number,"Network ports communicated to by the process, such as 53.",
4.3.1,Application_State,Ports,transport,string,"The network ports listened to by the application process, such as tcp, udp, etc.",
4.3.1,Application_State,Ports,transport_dest_port,string,"Calculated as transport/dest_port, such as tcp/53.",
4.3.1,Application_State,Processes,cpu_load_mhz,number,CPU Load in megahertz,
4.3.1,Application_State,Processes,cpu_load_percent,number,CPU Load in percent,
4.3.1,Application_State,Processes,cpu_time,string,CPU Time,
4.3.1,Application_State,Processes,mem_used,number,Memory used in bytes,
4.3.1,Application_State,Services,service,string,"The name of the service, such as SQL Server or Apache Web Server. Note: This field is not appropriate for filenames, such as sqlsrvr.exe orhttpd. Filenames should belong to the process field instead. Also, note that field is a string. Please use theservice_id field for service ID fields that are integer data types.",
4.3.1,Application_State,Services,service_id,string,A numeric indicator for a service.,
4.3.1,Application_State,Services,start_mode,string,The start mode for the service.,"disabled, enabled, auto."
4.3.1,Application_State,Services,status,string,The status of the service.,"critical, started,stopped, warning"
4.3.1,Authentication,Authentication,action,string,The action performed on the resource.,"success, failure,unknown"
4.3.1,Authentication,Authentication,app,string,"The application involved in the event (such asssh, splunk, win:local).",
5.3.1,Authentication,Authentication,authentication_method,string,"The method used to authenticate the request.",
5.3.1,Authentication,Authentication,authentication_service,string,"The service used to authenticate the request (such as Okta, ActiveDirectory, AzureAD).",
4.3.1,Authentication,Authentication,dest,string,"The target involved in the authentication. You canalias this from more specific fields, such asdest_host, dest_ip, or dest_nt_host.",
4.3.1,Authentication,Authentication,dest_bunit,string,The business unit of the authentication target. This field is automatically provided by Asset and Identity correlation features of applications like the Splunk App for Enterprise Security.,
4.3.1,Authentication,Authentication,dest_category,string,"The category of the authentication target, such asemail_server or SOX-compliant. This field is automatically provided by Asset and Identity correlation features of applications like the Splunk App for Enterprise Security.",
4.3.1,Authentication,Authentication,dest_nt_domain,string,"The name of the Active Directory used by the authentication target, if applicable.",
4.3.1,Authentication,Authentication,dest_priority,string,The priority of the authentication target.,
4.3.1,Authentication,Authentication,duration,number,"The amount of time for the completion of the authentication event, in seconds.",
5.3.1,Authentication,Authentication,reason,string,"The human-readable message associated with the authentication action (success or failure).",
4.3.1,Authentication,Authentication,response_time,number,"The amount of time it took to receive a response in the authentication event, in seconds.",
5.3.1,Authentication,Authentication,signature,string,"A human-readable signature name.",
5.3.1,Authentication,Authentication,signature_id,string,"The unique identifier or event code of the event signature.",
4.3.1,Authentication,Authentication,src,string,"The source involved in the authentication. In the case of endpoint protection authentication thesrc is the client. You can alias this from more specific fields, such as src_host, src_ip, orsrc_nt_host. Note: Do not confuse src with the event sourceor sourcetype fields.",
4.3.1,Authentication,Authentication,src_bunit,string,The business unit of the authentication source. This field is automatically provided by Asset and Identity correlation features of applications like the Splunk App for Enterprise Security.,
4.3.1,Authentication,Authentication,src_category,string,"The category of the authentication source, such asemail_server or SOX-compliant. This field is automatically provided by Asset and Identity correlation features of applications like the Splunk App for Enterprise Security.",
4.3.1,Authentication,Authentication,src_nt_domain,string,"The name of the Active Directory used by the authentication source, if applicable.",
4.3.1,Authentication,Authentication,src_priority,string,The priority of the authentication source.,
4.3.1,Authentication,Authentication,src_user,string,"In privilege escalation events, src_userrepresents the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed.",
4.3.1,Authentication,Authentication,src_user_bunit,string,The business unit of the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed.,
4.3.1,Authentication,Authentication,src_user_category,string,The category of the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed.,
5.3.1,Authentication,Authentication,src_user_id,string,"The unique id of the user who initiated the privilege escalation.",
4.3.1,Authentication,Authentication,src_user_priority,string,The priority of the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed.,
5.3.1,Authentication,Authentication,src_user_role,string,"The role of the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed",
5.3.1,Authentication,Authentication,src_user_type,string,"The type of the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed",
4.3.1,Authentication,Authentication,tag,string,A tag associated with the authentication event.,
4.3.1,Authentication,Authentication,user,string,"The name of the user involved in the event, or who initiated the event. For authentication privilege escalation events this should represent the user targeted by the escalation.",
5.3.1,Authentication,Authentication,user_agent,string,"The user agent through which the request was made. (Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6))",
4.3.1,Authentication,Authentication,user_bunit,string,"The business unit of the user involved in the event, or who initiated the event. For authentication privilege escalation events this should represent the user targeted by the escalation.",
4.3.1,Authentication,Authentication,user_category,string,"The category of the user involved in the event, or who initiated the event. For authentication privilege escalation events this should represent the user targeted by the escalation.",
5.3.1,Authentication,Authentication,user_id,string,"The unique id of the user involved in the event. For authentication privilege escalation events, this should represent the user targeted by the escalation.",
4.3.1,Authentication,Authentication,user_priority,string,"The priority of the user involved in the event, or who initiated the event. For authentication privilege escalation events this should represent the user targeted by the escalation.",
5.3.1,Authentication,Authentication,user_role,string,"The role of the user involved in the event, or who initiated the event. For authentication privilege escalation events, this should represent the user role targeted by the escalation.",
5.3.1,Authentication,Authentication,user_type,string,"The type of the user involved in the event or who initiated the event. (IAMUser, Admin, or System). For authentication privilege escalation events, this should represent the user type targeted by the escalation.",
5.3.1,Authentication,Authentication,vendor_account,string,"The account that manages the user that initiated the request. The account represents the organization, a Cloud customer, or a Cloud account",
4.3.1,Certificates,All_Certificates,dest,string,The target in the certificate management event.,
4.3.1,Certificates,All_Certificates,dest_bunit,string,The business unit of the target. This field is automatically provided by Asset and Identity correlation features of applications like the Splunk App for Enterprise Security.,
4.3.1,Certificates,All_Certificates,dest_category,string,"The category of the target, such asemail_server or SOX-compliant. This field is automatically provided by Asset and Identity correlation features of applications like the Splunk App for Enterprise Security.",
4.3.1,Certificates,All_Certificates,dest_port,number,The port number of the target.,
4.3.1,Certificates,All_Certificates,dest_priority,string,The priority of the target.,
4.3.1,Certificates,All_Certificates,duration,number,"The amount of time for the completion of the certificate management event, in seconds.",
4.3.1,Certificates,All_Certificates,response_time,number,"The amount of time it took to receive a response in the certificate management event, if applicable.",
4.3.1,Certificates,All_Certificates,src,string,"The source involved in the certificate management event. You can alias this from more specific fields, such as src_host, src_ip, or src_nt_host. Note: Do not confuse src with the event sourceor sourcetype fields.",
4.3.1,Certificates,All_Certificates,src_bunit,string,The business unit of the certificate management source. This field is automatically provided by Asset and Identity correlation features of applications like the Splunk App for Enterprise Security.,
4.3.1,Certificates,All_Certificates,src_category,string,"The category of the certificate management source, such as email_server or SOX-compliant. This field is automatically provided by Asset and Identity correlation features of applications like the Splunk App for Enterprise Security.",
4.3.1,Certificates,All_Certificates,src_priority,string,The priority of the certificate management source.,
4.3.1,Certificates,All_Certificates,tag,string,This automatically generated field is used to access tags from within datamodels. Add-on builders do not need to populate it.,
4.3.1,Certificates,All_Certificates,transport,string,The transport protocol of the Network Traffic involved with this certificate.,
4.3.1,Certificates,SSL,ssl_end_time,time,The expiry time of the certificate.,
4.3.1,Certificates,SSL,ssl_engine,string,The name of the signature engine that created the certificate.,
4.3.1,Certificates,SSL,ssl_hash,string,The hash of the certificate.,
4.3.1,Certificates,SSL,ssl_is_valid,boolean,Indicator of whether the ssl certificate is valid or not.,"true, false, 1, 0"
4.3.1,Certificates,SSL,ssl_issuer,string,The certificate issuer's RFC2253 Distinguished Name.,
4.3.1,Certificates,SSL,ssl_issuer_common_name,string,The certificate issuer's common name.,
4.3.1,Certificates,SSL,ssl_issuer_email,string,The certificate issuer's email address.,
4.3.1,Certificates,SSL,ssl_issuer_locality,string,The certificate issuer's locality.,
4.3.1,Certificates,SSL,ssl_issuer_organization,string,The certificate issuer's organization.,
4.3.1,Certificates,SSL,ssl_issuer_state,string,The certificate issuer's state of residence.,
4.3.1,Certificates,SSL,ssl_issuer_street,string,The certificate issuer's street address.,
4.3.1,Certificates,SSL,ssl_issuer_unit,string,The certificate issuer's organizational unit.,
4.3.1,Certificates,SSL,ssl_name,string,The name of the ssl certificate.,
4.3.1,Certificates,SSL,ssl_policies,string,The Object Identification Numbers's of the certificate's policies in a comma separated string.,
4.3.1,Certificates,SSL,ssl_publickey,string,The certificateÕs public key.,
4.3.1,Certificates,SSL,ssl_publickey_algorithm,string,The algorithm used to create the public key.,
4.3.1,Certificates,SSL,ssl_serial,string,The certificateÕs serial number.,
4.3.1,Certificates,SSL,ssl_session_id,string,The session identifier for this certificate.,
4.3.1,Certificates,SSL,ssl_signature_algorithm,string,The algorithm used by the Certificate Authority to sign the certificate.,
4.3.1,Certificates,SSL,ssl_start_time,time,This is the start date and time for this certificate's validity.,
4.3.1,Certificates,SSL,ssl_subject,string,The certificate owner's RFC2253 Distinguished Name.,
4.3.1,Certificates,SSL,ssl_subject_common_name,string,This certificate ownerÕs common name.,
4.3.1,Certificates,SSL,ssl_subject_email,string,The certificate ownerÕs e-mail address.,
4.3.1,Certificates,SSL,ssl_subject_locality,string,The certificate ownerÕs locality.,
4.3.1,Certificates,SSL,ssl_subject_state,string,The certificate ownerÕs state of residence.,
4.3.1,Certificates,SSL,ssl_subject_street,string,The certificate ownerÕs street address.,
4.3.1,Certificates,SSL,ssl_subject_unit,string,The certificate owner's organizational unit.,
4.3.1,Certificates,SSL,ssl_validity_window,number,The length of time (in seconds) for which this certificate is valid.,
4.3.1,Certificates,SSL,ssl_version,string,The ssl version of this certificate.,
4.3.1,Change_Analysis,All_Changes,action,string,The action performed on the resource.,"created, read, modified,deleted, acl_modified,unknown"
4.3.1,Change_Analysis,All_Changes,change_type,string,"The type of change, such asfilesystem or AAA(authentication, authorization, and accounting).",
4.3.1,Change_Analysis,All_Changes,command,string,The command that initiated the change.,
4.3.1,Change_Analysis,All_Changes,dest,string,"The resource where change occurred. You can alias this from more specific fields, such asdest_host, dest_ip, ordest_name.",
4.3.1,Change_Analysis,All_Changes,dest_bunit,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Change_Analysis,All_Changes,dest_category,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Change_Analysis,All_Changes,dest_priority,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Change_Analysis,All_Changes,dvc,string,"The device that reported the change, if applicable, such as a FIP or CIM server. You can alias this from more specific fields, such asdvc_host, dvc_ip, or dvc_name.",
4.3.1,Change_Analysis,All_Changes,object,string,"Name of the affected object on the resource (such as a router interface, user account, or server volume).",
4.3.1,Change_Analysis,All_Changes,object_attrs,string,"The attributes that were updated on the updated resource object, if applicable.",
4.3.1,Change_Analysis,All_Changes,object_category,string,Generic name for the class of the updated resource object. Expected values may be specific to an App.,"directory, file, group,object, registry, unknown,user"
4.3.1,Change_Analysis,All_Changes,object_id,string,"The unique updated resource object ID as presented to the system, if applicable (for instance, a SID, UUID, or GUID value).",
4.3.1,Change_Analysis,All_Changes,object_path,string,"The path of the modified resource object, if applicable (such as a file, directory, or volume).",
4.3.1,Change_Analysis,All_Changes,result,string,"The vendor-specific result of a change, or clarification of anaction status. For instance,status=failure may be accompanied by result=blocked by policy or result=disk full. Note: result is a string. Please use a msg_severity_idfield for severity ID fields that are integer data types.",
4.3.1,Change_Analysis,All_Changes,result_id,string,A result indicator for an actionstatus.,
4.3.1,Change_Analysis,All_Changes,src,string,"The resource where the change was originated. You can alias this from more specific fields, such assrc_host, src_ip, or src_name.",
4.3.1,Change_Analysis,All_Changes,src_bunit,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Change_Analysis,All_Changes,src_category,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Change_Analysis,All_Changes,src_priority,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Change_Analysis,All_Changes,status,string,Status of the update.,"success, failure, unknown"
4.3.1,Change_Analysis,All_Changes,tag,string,This automatically generated field is used to access tags from within datamodels. Add-on builders do not need to populate it.,
4.3.1,Change_Analysis,All_Changes,user,string,The user or entity performing the change (can be UID or PID).,
4.3.1,Change_Analysis,All_Changes,vendor_product,string,The product or service that detected the vulnerability.,
4.3.1,Change_Analysis,Account_Management,dest_nt_domain,string,"The NT domain of the destination, if applicable.",
4.3.1,Change_Analysis,Account_Management,src_nt_domain,string,"The NT domain of the source, if applicable.",
4.3.1,Change_Analysis,Account_Management,src_user,string,"The user associated with the source, if applicable.",
4.3.1,Change_Analysis,Account_Management,src_user_bunit,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Change_Analysis,Account_Management,src_user_category,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Change_Analysis,Account_Management,src_user_priority,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Change_Analysis,Filesystem_Changes,file_access_time,time,The time the file (the object of the event) was accessed.,
4.3.1,Change_Analysis,Filesystem_Changes,file_acl,string,Access controls associated with the file affected by the event.,
4.3.1,Change_Analysis,Filesystem_Changes,file_create_time,time,The time the file (the object of the event) was created.,
4.3.1,Change_Analysis,Filesystem_Changes,file_hash,string,A cryptographic identifier assigned to the file object affected by the event.,
4.3.1,Change_Analysis,Filesystem_Changes,file_modify_time,time,The time the file (the object of the event) was altered.,
4.3.1,Change_Analysis,Filesystem_Changes,file_name,string,The name of the file that is the object of the event (without location information related to local file or directory structure).,
4.3.1,Change_Analysis,Filesystem_Changes,file_path,string,"The location of the file that is the object of the event, in local file and directory structure terms.",
4.3.1,Change_Analysis,Filesystem_Changes,file_size,number,"The size of the file that is the object of the event, in kilobytes.",
4.3.1,Databases,All_Databases,dest,string,"The destination of the database event. You can alias this from more specific fields, such asdest_host, dest_ip, ordest_name.",
4.3.1,Databases,All_Databases,dest_bunit,string,The business unit of the destination.,
4.3.1,Databases,All_Databases,dest_category,string,The category of the destination.,
4.3.1,Databases,All_Databases,dest_priority,string,"The priority of the destination, if applicable.",
4.3.1,Databases,All_Databases,duration,number,"The amount of time for the completion of the database event, in seconds.",
4.3.1,Databases,All_Databases,object,string,The name of the database object.,
4.3.1,Databases,All_Databases,response_time,number,"The amount of time it took to receive a response in the database event, if applicable.",
4.3.1,Databases,All_Databases,src,string,"The source of the database event. You can alias this from more specific fields, such assrc_host, src_ip, orsrc_name.",
4.3.1,Databases,All_Databases,src_bunit,string,The business unit of the source.,
4.3.1,Databases,All_Databases,src_category,string,The category of the source.,
4.3.1,Databases,All_Databases,src_priority,string,The priority of the source.,
4.3.1,Databases,All_Databases,tag,string,This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it..,
4.3.1,Databases,All_Databases,user,string,Name of the database process user.,
4.3.1,Databases,All_Databases,user_bunit,string,The business unit of the user.,
4.3.1,Databases,All_Databases,user_category,string,The category associated with the user.,
4.3.1,Databases,All_Databases,user_priority,string,The priority of the user.,
4.3.1,Databases,All_Databases,vendor_product,string,"The vendor product name of the database system. You can extract this from the fieldsvendor and product in the raw event data, if available.",
4.3.1,Databases,Database_Instance,instance_name,string,The name of the database instance.,
4.3.1,Databases,Database_Instance,instance_version,string,The version of the database instance.,
4.3.1,Databases,Database_Instance,process_limit,number,The maximum number of processes that the database instance can handle.,
4.3.1,Databases,Database_Instance,session_limit,number,The maximum number of sessions that the database instance can handle.,
4.3.1,Databases,Instance_Stats,availability,string,The status of the database server.,"Available, Not Available"
4.3.1,Databases,Instance_Stats,avg_executions,number,The average number of executions for the database instance.,
4.3.1,Databases,Instance_Stats,dump_area_used,string,The amount of the database dump area that has been used.,
4.3.1,Databases,Instance_Stats,instance_reads,number,The total number of reads for the database instance.,
4.3.1,Databases,Instance_Stats,instance_writes,number,The total number of writes for the database instance.,
4.3.1,Databases,Instance_Stats,number_of_users,number,The total number of users for the database instance.,
4.3.1,Databases,Instance_Stats,processes,number,The number of processes currently running for the database instance.,
4.3.1,Databases,Instance_Stats,sessions,number,The total number of sessions currently in use for the database instance.,
4.3.1,Databases,Instance_Stats,sga_buffer_cache_size,number,"The total size of the buffer cache for the database instance, in bytes.",
4.3.1,Databases,Instance_Stats,sga_buffer_hit_limit,number,The maximum number of number of buffers that can be hit in the database instance without finding a free buffer.,
4.3.1,Databases,Instance_Stats,sga_data_dict_hit_ratio,number,The hit-to-miss ratio for the database instance's data dictionary.,
4.3.1,Databases,Instance_Stats,sga_fixed_area_size,number,"The size of the fixed area (also referred to as the fixed SGA) for the database instance, in bytes.",
4.3.1,Databases,Instance_Stats,sga_free_memory,number,"The total amount of free memory in the database instance SGA, in bytes.",
4.3.1,Databases,Instance_Stats,sga_library_cache_size,number,"The total library cache size for the database instance, in bytes.",
4.3.1,Databases,Instance_Stats,sga_redo_log_buffer,number,"The total size of the redo log buffer for the database instance, in bytes",
4.3.1,Databases,Instance_Stats,sga_shared_pool,number,"The total size of the shared pool for this database instance, in bytes.",
4.3.1,Databases,Instance_Stats,sga_sql_area_size,number,"The total size of the SQL area for this database instance, in bytes.",
4.3.1,Databases,Instance_Stats,start_time,time,The total amount of uptime for the database instance.,
4.3.1,Databases,Instance_Stats,tablespace_used,string,"The total amount of tablespace used for the database instance, in bytes.",
4.3.1,Databases,Session_Info,buffer_cache_hit_ratio,number,The percentage of logical reads from the buffer during the session (1-physical reads/session logical reads*100).,
4.3.1,Databases,Session_Info,commits,number,The number of commits per second performed by the user associated with the session.,
4.3.1,Databases,Session_Info,cpu_used,number,The number of CPU centiseconds used by the session. Divide this value by 100 to get the CPU seconds.,
4.3.1,Databases,Session_Info,cursor,number,The number of the cursor currently in use by the session.,
4.3.1,Databases,Session_Info,elapsed_time,number,"The total amount of time elapsed since the user started the session by logging into the database server, in seconds.",
4.3.1,Databases,Session_Info,logical_reads,number,The total number of consistent gets and database block gets performed during the session.,
4.3.1,Databases,Session_Info,machine,string,The name of the logical host associated with the database instance.,
4.3.1,Databases,Session_Info,memory_sorts,number,The total number of memory sorts performed during the session.,
4.3.1,Databases,Session_Info,physical_reads,number,The total number of physical reads performed during the session.,
4.3.1,Databases,Session_Info,seconds_in_wait,number,"The description ofseconds_in_wait depends on the value of wait_time. Ifwait_time = 0,seconds_in_wait is the number of seconds spent in the current wait condition. Ifwait_time has a nonzero value, seconds_in_wait is the number of seconds that have elapsed since the start of the last wait. You can get the active seconds that have elapsed since the last wait ended by calculating seconds_in_wait - wait_time / 100.",
4.3.1,Databases,Session_Info,session_id,string,The unique id that identifies the session.,
4.3.1,Databases,Session_Info,session_status,string,The current status of the session.,"Online, Offline."
4.3.1,Databases,Session_Info,table_scans,number,Number of table scans performed during the session.,
4.3.1,Databases,Session_Info,wait_state,string,Provides the current wait state for the session. Can indicate that the session is currently waiting or provide information about the session's last wait.,"WAITING (the session is currently waiting), WAITED UNKNOWN TIME (the duration of the last session wait is unknown),WAITED SHORT TIME (the last session wait was < 1/100th of a second), WAITED KNOWN TIME(the wait_time is the duration of the last session wait)."
4.3.1,Databases,Session_Info,wait_time,number,"When wait_time = 0, the session is waiting. Whenwait_time has a nonzero value, it is displaying the last wait time for the session.",
4.3.1,Databases,Lock_Info,last_call_minute,number,"Represents the amount of time elapsed since thesession_status changed to its current status. The definition of this field depends on thesession_status value. Ifsession_status = ONLINE, the last_call_minute value represents the time elapsed since the session became active. If session_status = OFFLINE, the last_call_minute value represents the time elapsed since the session became inactive.",
4.3.1,Databases,Lock_Info,lock_mode,string,The mode of the lock on the object.,
4.3.1,Databases,Lock_Info,lock_session_id,string,The session identifier of the locked object.,
4.3.1,Databases,Lock_Info,logon_time,number,The database logon time for the session.,
4.3.1,Databases,Lock_Info,obj_name,string,The name of the locked object.,
4.3.1,Databases,Lock_Info,os_pid,string,The process identifier for the operating system.,
4.3.1,Databases,Lock_Info,serial_num,string,The mode of the lock on the object.,
4.3.1,Databases,Database_Query,query,string,The full database query.,
4.3.1,Databases,Database_Query,query_id,string,The identifier for the database query.,
4.3.1,Databases,Database_Query,query_time,time,The time the system initiated the database query.,
4.3.1,Databases,Database_Query,records_affected,number,The number of records affected by the database query.,
